Timestamp,Your Gender,Your Age,Are you currently....?,What is your annual income?,How often do you visit Starbucks?,How do you usually enjoy Starbucks?,How much time do you normally  spend during your visit?,The nearest Starbucks's outlet to you is...?,Do you have Starbucks membership card?,What do you most frequently purchase at Starbucks?,"On average, how much would you spend at Starbucks per visit?","How would you rate the quality of Starbucks compared to other brands (Coffee Bean, Old Town White Coffee..) to be:",How would you rate the price range at Starbucks?,How important are sales and promotions in your purchase decision?,"How would you rate the ambiance at Starbucks? (lighting, music, etc...)",You rate the WiFi quality at Starbucks as..,"How would you rate the service at Starbucks? (Promptness, friendliness, etc..)",How likely you will choose Starbucks for doing business meetings or hangout with friends?,How do you come to hear of promotions at Starbucks? Check all that apply.,Will you continue buying at Starbucks?
5/18/2022 23:04:19,Male,From 20 to 29,Employed,"50,000 - 100,000 PLN",Rarely,Dine in,Between 2 hours to 3 hours,within 1km,No,"Coffee, Pastries",Around 20 - 40 PLN,4,4,4,5,5,4,5,"Social Media, Billboards",Yes
5/18/2022 23:13:26,Female,From 20 to 29,Student,"Less than 25,000 PLN",Rarely,Take away,Between 1 hour to 2 hours,1km - 3km,No,Coffee,Around 20 - 40 PLN,3,3,3,1,2,3,3,"Social Media, Through friends and word of mouth",Yes
5/18/2022 23:20:36,Female,40 and above,Student,"25,000 -50,000 PLN",Rarely,Dine in,Between 1 hour to 2 hours,1km - 3km,Yes,"Coffee, Pastries",More than 40 PLN,4,4,5,5,5,4,3,Emails,Yes
5/18/2022 23:38:29,Female,From 20 to 29,Student,"25,000 -50,000 PLN",Rarely,Dine in,Between 30 minutes to 1 hour,within 1km,No,Coffee,Around 20 - 40 PLN,3,1,2,2,2,5,4,In Store displays,Yes
5/18/2022 23:48:49,Female,From 20 to 29,Student,"Less than 25,000 PLN",Rarely,Take away,Below 30 minutes,more than 3km,No,Coffee,Around 20 - 40 PLN,1,5,4,1,4,4,3,Social Media,Yes
5/19/2022 0:27:47,Female,From 20 to 29,Self-employed,"Less than 25,000 PLN",Rarely,Dine in,Between 30 minutes to 1 hour,more than 3km,No,"Coffee, Cold drinks",Less than 20 PLN,4,4,4,4,3,4,4,Social Media,Yes
5/19/2022 1:09:59,Female,From 20 to 29,Student,"50,000 - 100,000 PLN",Rarely,Take away,Between 1 hour to 2 hours,within 1km,No,Cold drinks,Less than 20 PLN,4,5,3,4,4,5,5,"Social Media, Through friends and word of mouth, Billboards",Yes
5/19/2022 9:48:30,Female,From 20 to 29,Student,"Less than 25,000 PLN",Monthly,"Take away	",Between 1 hour to 2 hours,1km - 3km,No,Coffee,Around 20 - 40 PLN,4,4,4,4,4,4,4,"Social Media, Through friends and word of mouth",Yes
5/19/2022 10:47:00,Female,From 20 to 29,Student,"Less than 25,000 PLN",Rarely,Dine in,Between 1 hour to 2 hours,within 1km,No,"Coffee, Cold drinks",Around 20 - 40 PLN,5,5,5,5,5,5,5,"Social Media, Through friends and word of mouth, In Store displays",Yes
5/19/2022 11:02:58,Male,From 20 to 29,Employed,"Less than 25,000 PLN",Monthly,Dine in,Between 1 hour to 2 hours,within 1km,No,"Coffee, Sandwiches",Less than 20 PLN,4,3,4,5,5,4,5,"Social Media, Starbucks Website/Apps, Emails, Billboards",Yes
5/19/2022 11:03:31,Male,Below 20,Employed,"50,000 - 100,000 PLN",Never,Take away,Between 1 hour to 2 hours,more than 3km,No,"Cold drinks, Juices",More than 40 PLN,4,3,5,4,5,4,3,"Social Media, Emails",Yes
